hylak_id,ACR_CR,ACR_EN,ACR_VU,ACR_NT,CNEI_CR,CNEI_EN,CNEI_VU,CNEI_NT,sp_count_CR,sp_count_EN,sp_count_VU,sp_count_NT,exposure_scenario
6132.0,0.0,230.8815412,923.5261648,1385.2892472,0.0,230.8815412,230.8815412,230.8815412,0.0,1.0,4.0,6.0,S0_baseline
6133.0,0.0,116.431993,582.159965,815.023951,0.0,116.431993,116.431993,116.431993,0.0,1.0,5.0,7.0,S0_baseline
6134.0,0.0,348.608691,697.2173819999999,813.4202789999999,0.0,116.202897,116.202897,116.202897,0.0,3.0,6.0,7.0,S0_baseline
6136.0,0.0,257.3237907,1029.2951628,1286.6189535,0.0,257.3237907,257.3237907,257.3237907,0.0,1.0,4.0,5.0,S0_baseline
6138.0,0.0,433.550567,1734.202268,2601.303402,0.0,433.550567,433.550567,433.550567,0.0,1.0,4.0,6.0,S0_baseline
6142.0,0.0,207.6678177,830.6712708,1246.0069062,0.0,207.6678177,207.6678177,207.6678177,0.0,1.0,4.0,6.0,S0_baseline
6184.0,0.0,713.8229223000001,1189.7048705,1903.5277928,0.0,237.94097410000003,237.9409741,237.9409741,0.0,3.0,5.0,8.0,S0_baseline
6205.0,0.0,420.5073162,841.0146324,1121.3528432,0.0,140.1691054,140.1691054,140.1691054,0.0,3.0,6.0,8.0,S0_baseline
6268.0,0.0,93.02180358,465.1090179,651.15262506,0.0,93.02180358,93.02180358,93.02180358,0.0,1.0,5.0,7.0,S0_baseline
6271.0,0.0,111.8556325,447.42253,894.84506,0.0,111.8556325,111.8556325,111.8556325,0.0,1.0,4.0,8.0,S0_baseline
6299.0,0.0,473.7738276,1184.434569,1421.3214828,0.0,236.8869138,236.8869138,236.8869138,0.0,2.0,5.0,6.0,S0_baseline
6306.0,213.0792632,426.1585264,852.3170528,1278.4755792,213.0792632,213.0792632,213.0792632,213.0792632,1.0,2.0,4.0,6.0,S0_baseline
6307.0,0.0,946.1087276,2365.271819,2838.3261828,0.0,473.0543638,473.0543638,473.0543638,0.0,2.0,5.0,6.0,S0_baseline
6313.0,0.0,0.0,102.37437825,204.7487565,0.0,0.0,34.12479275,34.12479275,0.0,0.0,3.0,6.0,S0_baseline
6328.0,0.0,128.2904645,641.4523225,641.4523225,0.0,128.2904645,128.2904645,128.2904645,0.0,1.0,5.0,5.0,S0_baseline
6340.0,0.0,0.0,159.28849992,265.4808332,0.0,0.0,53.09616664,53.09616664,0.0,0.0,3.0,5.0,S0_baseline
6362.0,0.0,152.4561428,762.280714,1372.1052852,0.0,152.4561428,152.4561428,152.4561428,0.0,1.0,5.0,9.0,S0_baseline
6381.0,0.0,139.8593169,699.2965845000001,1118.8745352,0.0,139.8593169,139.8593169,139.8593169,0.0,1.0,5.0,8.0,S0_baseline
6465.0,0.0,61.03186721,366.19120326,488.25493768,0.0,61.03186721,61.03186721,61.03186721,0.0,1.0,6.0,8.0,S0_baseline
6469.0,0.0,321.4994193,1607.4970965,2250.4959351,0.0,321.4994193,321.4994193,321.49941929999994,0.0,1.0,5.0,7.0,S0_baseline
6480.0,0.0,1300.866868,3902.600604,9106.068076,0.0,1300.866868,1300.866868,1300.8668679999998,0.0,1.0,3.0,7.0,S0_baseline
6487.0,0.0,195.4051762,977.025881,1367.8362334,0.0,195.4051762,195.4051762,195.4051762,0.0,1.0,5.0,7.0,S0_baseline
6493.0,0.0,301.699357,905.098071,1206.797428,0.0,150.8496785,150.8496785,150.8496785,0.0,2.0,6.0,8.0,S0_baseline
6503.0,0.0,101.795955,610.7757300000001,814.36764,0.0,101.795955,101.795955,101.795955,0.0,1.0,6.0,8.0,S0_baseline
6506.0,0.0,304.3474791,1521.7373954999998,2434.7798328,0.0,304.3474791,304.3474791,304.3474791,0.0,1.0,5.0,8.0,S0_baseline
6511.0,0.0,209.2130113,1255.2780678,1673.7040904,0.0,209.2130113,209.2130113,209.2130113,0.0,1.0,6.0,8.0,S0_baseline
6523.0,0.0,177.3000299,1063.8001794,1418.4002392,0.0,177.3000299,177.3000299,177.3000299,0.0,1.0,6.0,8.0,S0_baseline
6528.0,0.0,145.8676117,875.2056702,1166.9408936,0.0,145.8676117,145.8676117,145.8676117,0.0,1.0,6.0,8.0,S0_baseline
6538.0,0.0,131.07504852,196.61257278,655.3752426,0.0,65.53752426,65.53752426,65.53752426,0.0,2.0,3.0,10.0,S0_baseline
6545.0,0.0,989.018226,741.7636695,2472.545565,0.0,494.509113,247.2545565,247.2545565,0.0,2.0,3.0,10.0,S0_baseline
6546.0,0.0,473.5676836,947.1353672,2367.8384180000003,0.0,236.7838418,236.7838418,236.78384180000003,0.0,2.0,4.0,10.0,S0_baseline
6549.0,0.0,162.65301816,243.97952724,813.2650907999999,0.0,81.32650908,81.32650908,81.32650908,0.0,2.0,3.0,10.0,S0_baseline
6560.0,0.0,535.9161558,1071.8323116,2679.580779,0.0,267.9580779,267.9580779,267.9580779,0.0,2.0,4.0,10.0,S0_baseline
